They do to!	They do not!
-- the sorrow of Moldavia --	-- the sorrow --
-- the sorrow --	I command you.
I command you.	I await the word of Vigo.
These boys aren't playing around.	You've got to stop them.  Please!
You've got to do something!	Who are they?
That's it?  That's all you have to say?	Did I forget something?
Can I have some of your water?	Get on with it, counselor!
Hey!  Wait!  Okay, I'll meet you there.	I thought you were like the fifth Ghostbuster.
I got you out of those bad tax shelters.	You were the one who got me in.
Yes, I did.  We were city champs.	Objection.  Irrelevant and immaterial.
From where -- Neptune?	They came from Ostrov in Eastern Poland.
They came from Ostrov in Eastern Poland.	Ostrov?  I've been there.  Good party town.
It's working.  The positive GeV's are climbing.	They love you, Lib.  Keep it up.
"That's it?  ""I'll be back?"""	It's a rough translation from the Moldavian.
You were supposed to help me with this.	You need the exercise.
That's a thousand million electron volts.	I knew that.
I think they're more interested in my epididymis.	I don't even want to know where that is.
Don't shoot!  You'll hit Ray!	Do it!  Just do it!
Six feet -- seven -- eight --	That's it.  It's on the bottom.
That's it.  It's on the bottom.	Nine feet -- ten --
I'm Egon --	And we're the ...
Seems like a pretty open-minded guy, huh?	"His nickname is ""The Hammer."""
Nothing.  Not a trace.	Why don't we try the Giga-meter?
Late Renaissance, I think.  Caravaggio or Brunelleschi.	There's something very familiar about this painting.
Rivers of the stuff!	And it's all flowing toward the museum.
Is the line sinking?	No, the slime is rising.
I don't think they make Nikes in her size.	We're almost there, Lib.  Step on it.
I hope we have enough stuff to do the job.	Only one way to find out.  Ready, Teddy?
It looks like a giant Jello mold.	I hate Jello.
And now you're going to eat it?	No, I'm just restoring it to its normal state.
I'm Ray --	I'm Peter --
Geez, I forgot how heavy these things are.	Okay, let's heat 'em up!
Who?  Who?  Who?	Aaah!  Nobody!  I can't tell you!
Great.  So what are you guys working on?	Oh, just checking something for an old friend.
Who?  Just -- someone we know.	Oh, Ray --
Oh, hiya, Pete.	So, no goat hooves, huh?
Ray -- Ray -- How do you feel, man?	Groovy.  I've never felt better in my life.
Are you telling me how to drive?	No, I just thought --
No, I just thought --	Well don't think!
Now that's one ugly dude.	Huh?  What?
Huh?  What?	You finished here?
You finished here?	What?  Yeah.
What?  Yeah.	Are you all right?  You coming down with something?
Tell him about the toaster.	I don't think he's ready for the toaster.
Now where are you going?	To the bathroom, where do you think?
To the bathroom, where do you think?	Have I done the right thing?
Roy?  Your clock broke.	Nice going, honey.  It was brand new.
Nice going, honey.  It was brand new.	I didn't break your precious clock, Roy!
Aren't you glad we waited?	I don't know.  It probably would've been the same.
I don't know.  It probably would've been the same.	Well, thanks a lot.
Well, I guess some people have it and some don't.	Do you think I have it, Dr. Venkman?
Ready?  What is it?	Ummm -- figure eight?
No.  They're just coming to me.	Well, you're doing great.  Keep it up.
Are you the Gatekeeper?	I am Zuul.
Fine, Louis.  We'll stop in for a drink.	I got the Twister game for later ...
... I thought it was the drug store.	Are you sick, Louis?
Actually, it's more of a policy than a rule.	I want you inside me.
There is no Dana.  I am Zuul.	Whoa!! Nice voice.
Hey, Dana.  What is it?  What happened?	I am Zuul.  I am the Gatekeeper.
You heard it?	You're the best one in your row.
All right.  What do you want to do?	I think I should spend the night here.
I think I should spend the night here.	That's it.  Get out.
That's it.  Get out.	On a purely scientific basis.
You're quite a housekeeper.	I told you, I ...
I told you, I ...	I know.  It happened by itself.
Well, let's check it out.	I'll wait here if you don't mind.
You really don't act like a scientist.	No?  What do I act like?
No?  What do I act like?	Like a used car salesman.
Like a used car salesman.	Thanks.  What's in there?
You play the cello!  It's my favorite instrument.	Really?  Do you have a favorite piece?
Really?  Do you have a favorite piece?	I'd have to say Prokofiev's third concerto.
I'd have to say Prokofiev's third concerto.	That's a violin concerto.
That's a violin concerto.	Yeah, but it's got a great cello break.
Is that your professional opinion?	It's in the stars.
We're all professionals here, Miss ...	Barrett.  Dana Barrett.
Did you see it?  What was it?	We'll get back to you.
What's that got to do with it?	Back off, man!  I'm a scientist!
I want you to have this.	What is it?
I don't believe in luck.	Keep it anyway.  I have another one at home.
Die in what sense?	In the physical sense.
I collect spores, molds and fungus.	Oh, that's very - unusual.
Oh, that's very - unusual.	I think it's the food of the future.
I think it's the food of the future.	Remind me not to go to lunch with you.
And someone from the EPA is here to see you.	The EPA?  What's he want?
May I please see the storage facility?	Why do you want to see it?
Have it your way, Mr. Venkman.	Hey!  Make yourself useful!  Go save a tree!
Exactly what are you a doctor of, Mr. Venkman?	I have Ph.D's in psychology and parapsychology.
I have Ph.D's in psychology and parapsychology.	I see.  And now you catch ghosts?
I see.  And now you catch ghosts?	You could say that.
You could say that.	And how many ghosts have you caught, Mr. Venkman?
And how many ghosts have you caught, Mr. Venkman?	I'm not at liberty to say.
In a storage facility.	And would this storage facility be located on these premises?
And would this storage facility be located on these premises?	Yes, it would.
Yes, it would.	And may I see this storage facility?
And may I see this storage facility?	No, you may not.
No, you may not.	And why not, Mr. Venkman?
And why not, Mr. Venkman?	Because you didn't say the magic word.
Because you didn't say the magic word.	And what is the magic word, Mr. Venkman?
And what is the magic word, Mr. Venkman?	"The magic word is ""please."""
Great!  How's it going?	Are you Peter Venkman?
Are you Peter Venkman?	Yes, I'm Doctor Venkman.
I'm studying the effect of negative reinforcement on ESP ability.	I'll tell you the effect!  It pisses me off!
I'll tell you the effect!  It pisses me off!	Then my theory was correct.
Yes.  I don't like this.	Well, just 75 more to go.  What's this one?
Well, just 75 more to go.  What's this one?	Two wavy lines?
Two wavy lines?	Sorry.  This isn't your day.
Hey, Mister!  Can I see those guns?	They're not guns.  They're particle throwers.
They're not guns.  They're particle throwers.	Yeah, yeah.  I just want to see 'em.
Yeah, yeah.  I just want to see 'em.	I couldn't do that.  You might hurt someone.
Were you recently in the bathroom?	What on earth gave you that idea?
Life is just a state of mind.	But it's my favorite state.
On the count of three!  One ... Two ...	No!  Them!  Shoot them!  Cross the beams.
It's Peter, Egon.  I've got a problem.	What is it?
Trust me.  It will be bad.	"What do you mean ""bad?"""
Something was definitely here.	Yeah, I can smell it.
Spengler, are you serious about actually catching a ghost?	I'm always serious.
Oh!  You're here.	What have you got, Egon?
Set entry grid.	Neutronize.  System shut.
Ray!  Where are you?  Are you all right?	God, it's ugly!
I couldn't help it!  It just popped in there!	What?  What popped in there?
Agile bastard, isn't he?	Forget the trapping!  Just blast him!
It doesn't seem to have slowed him down any.	I don't think it's Shandor.
Who was the architect?	He's listed on the blueprints as I. Shandor.
Egon, how's the grid around the storage facility holding up?	It's not good, Pete.
It's here, Ray.  It's looking at me.	Don't move.  It won't hurt you.
Don't move.  It won't hurt you.	How do you know?
How do you know?	I don't know.  I'm just guessing.
Ray -- Something's here.	Where are you, Pete?
Where are you, Pete?	Third floor.  Get down here,
Third floor.  Get down here,	Sit tight.  I'm on my way.
Sit tight.  I'm on my way.	Well, hurry up.  The needle's going wild.
So do I.	No sense worrying about it now.
How was your date?	It wasn't a date.  It was an investigation.
But most people are afraid to even report these things.	Maybe.  But no one ever advertised before.
You'll never regret this, Ray.	My parents left me that house, I was born there.
For what purpose?	To go into business for ourselves.
I told you it's real.	What do we do now?
What do we do now?	I don't know.  Talk to it.
I don't know.  Talk to it.	What do I say?
What do I say?	Anything!  Just make contact.
"What do you mean by ""seen?"""	Looked at with your eyes.
Looked at with your eyes.	Well, I was at an unexplained multiple high-altitude rockfall once.
What's he talking about?  Choose what?	"What do you mean ""choose?""  We don't understand."
You don't have to worry about that with us, sir.	Right.  We'll believe anything.
Boy!  Solid cores of shielded Selenium .325.	Do you believe in God?
Do you believe in God?	No.  But I liked Jesus' style.
No.  But I liked Jesus' style.	Me, too. Parts of the Bible are great.
Me, too. Parts of the Bible are great.	The whole roof cap was fabricated with a magnesium-tungsten alloy.
And the seas would boil ...	Right.  And the sky would fall ...
Right.  And the sky would fall ...	Judgement Day ...
Judgement Day ...	Yeah, Judgement Day.
I am their hero!	Not yet, dear brother...
Not yet, dear brother...	Send them out!
What are you talking about?	Now that we're done with that infatuation forever.
Now that we're done with that infatuation forever.	If I ever loved Narcissus it wasn't like you want.
If I ever loved Narcissus it wasn't like you want.	But I get what I want, always, don't I?
If I may be so bold...	For the gods, spit it out!
For the gods, spit it out!	Why not do it in the Colosseum?
We're nearly there, Lucilla.	That's what you told me two days ago!
They won't break this one.	Apparently my opinion wasn't needed.
That's difficult to say, general.	Perhaps, Master Galen, you may say.
Caesar, let me sponsor your first wager in the arena.	I wouldn't know who to bet on.
Yes.  You know, that's not a bad idea.	Maybe it'll crush Gaius.
Marcus Aurelius has died.	He left us at dawn.
Where is my father?	Where is the emperor and the army, soldier?
I've read of it.	But have never been?
The trouble is defining exactly what 'right' is.	We all know what right is, Senator.
You're a citizen and a soldier.  Not a gladiator.	You don't know how wrong you are.
You cannot die.	Would that Marcus had lived.
Would that Marcus had lived.	Marcus would have lived but... was poisoned by his son.
Marcus would have lived but... was poisoned by his son.	He killed his father and then my family...
It's my brother's neck you want, not mine.	Yours will do!
I thought all good generals were quick to recognize opportunities.	Sneaking around with your brother?
The Senators admire you.	They fear me.
As soon as I can.	On your honor as a Roman officer, daddy?
On your honor as a Roman officer, daddy?	On my honor as your daddy...
You brought the army into Rome.	I was summoned.
My troops don't make policy.	Well, they die for it!
Let him trust Quintus.	Quintus is overly idealistic.
Quintus is overly idealistic.	I never knew a more idealistic man than you.
You need to come home!	I can see that...
What about their philosophy lessons?	They're studying with Cynics.
He's very realistic.	Isn't the helmet magnificent?
I want nothing to do with the arena.	Something else, then.  Do the chariot races interest you?
How much money is involved?	A great deal.  They designed and build Tiger's chariot...
Fantastic!  Wonderful!  But posters are very expensive.	Then get a large cash advance.
Before they leave, get gold.	Right, right, what am I thinking of?
You get to come alive again in the country!	As, what, 'The Galloping Gladiator?!'
Proximo, if this is her doctor he's an assassin.	Don't be ridiculous.
General, do you realize what happened out there today?	I didn't get killed and everyone else did.
I didn't get killed and everyone else did.	That's one way to look at it.
I refuse to be your slave.  I refuse --	-- to fight?  We'll see...
The day after tomorrow?	Maybe we are and maybe we aren't.
Well, what did he say? I'm curious.	He said he thought we'd make a pretty good team.
He said he thought we'd make a pretty good team.	Oh no. He said that.
Why do you have to see him?	Well -- I said I might marry him.
Why wouldn't it?	I just don't think it would...
I just don't think it would work.	Why wouldn't it?
Or this afternoon. It's a good day for it.	Benjamin -- I haven't even said I'll marry you yet.
Elaine -- are you serious about this?	I'll think about it.
I'll think about it.	You really will?
Well -- look -- don't be confused. We're getting married.	I don't see how we can.
I don't see how we can.	We just can.
We just can.	I have to go back now.
I don't know.	But you might.
I don't know. I don't know what's happening.	You mean you're confused?
I don't want you to leave tomorrow.	I don't understand.
What are you going to do now?	I don't know.
Can I just sit here while you're packing?	If you want.
Then you took her upstairs and you raped her.	Elaine -- that is not what happened.
Because it isn't true.	I don't feel well.
I don't understand --	Did you say rape her?
What did she say?	Let me go.
Let me go.	You've got to tell me what she said.
I said I think it is.	All right then! Yes!
All right then! Yes!	Well, I want you to leave.
Well, I want you to leave.	Elaine -- I love you.
Elaine -- I love you.	How could you do that, Benjamin?
No. I want to know why you're here in Berkeley?	Because -- I am.
Because -- I am.	Is it because I'm here?
Is it because I'm here?	What do you think?
What do you think?	I think it is.
-- really incredible --	Here he comes.
Where did he say he was going to meet you?	I thought he said by the monkey house.
Where are you meeting this person?	At the Zoo.
What is it?	That woman --
That woman. The older woman.	You mean the one who --
Why aren't you ready?	Because I want to know what's happening.
Benjamin -- what's happening?	Hurry up. Put your shoes on.
With a family?	Yes. She had a husband and a son.
Yes. She had a husband and a son.	Did they ever find out?
Let's get out of here, Elaine. Let's go somewhere else.	Benjamin -- do they know you?
Benjamin -- do they know you?	Of course not.
We won't. Let's go inside.	Wait a minute.
Wait a minute.	Is anything wrong?
Listen -- could you stop crying, please?	No, I couldn't.
No, I couldn't.	But could you try?
I want to go home.	But could I just tell you this one thing?
Will you take me home now?	I'm sorry I took you in there.
I'm sorry I took you in there.	I think I'd better go home now please.
I think I'd better go home now please.	But, Elaine --
But, Elaine --	Where is the car?
Where is the car?	I just want to tell you something.
Benjamin -- do you dislike me for some reason?	No -- why should I?
No -- why should I?	I don't know.
Do you want some dinner?	I'd love some.
Hello -- who is this?	This is Dr. Smith's answering service.
This is Dr. Smith's answering service.	Is the doctor anywhere?
Yes, I will.	Okay. Enough said. That's a deal.
Are you listening?	Yes I am.
I am going to call the police now.	Could I make one phone call first?
It's all right, Mr. McCleery.	Screaming isn't all right. Not in my house it isn't.
Screaming isn't all right. Not in my house it isn't.	It was just a visitor. But it's all right now.
One of those outside agitators.	Oh -- no sir.
Oh -- no sir.	I hate that. I won't stand for it.
I said -- not exactly -- no.	What are you then?
What are you then?	Well -- I'm just sort of traveling through.
Where are you?	Uh -- The Taft Hotel.
Uh -- The Taft Hotel.	Did you get a room?
I'm putting it here by the door.	Will you bring it in to me?
Will you bring it in to me?	I'd rather not.
I'd rather not.	All right. Put it in the room where we were.
I'm in the bathroom.	Well here's the purse.
Well here's the purse.	Could you bring it up?
Could you bring it up?	Well I'll hand it to you.
Will you bring up my purse before you go?	I have to go now. I'm sorry.
Is anything wrong, sir?	What? No. Nothing.
What? No. Nothing.	Do you have any luggage, Mister --  Gladstone?
Do you have any luggage, Mister --  Gladstone?	Luggage? Yes. Yes. I do.
Luggage? Yes. Yes. I do.	Where is it?
Where is your luggage?	Well it's in the car. It's out in the car.
Well it's in the car. It's out in the car.	Very good, sir. I'll have a porter bring it in.
A room. I'd like a room, please.	A single room or a double room?
A single room or a double room?	A single. Just for myself, please.
A single. Just for myself, please.	Will you sign the register, please?
The Singleman party, sir?	Oh -- yes. The Singleman party.
Oh -- yes. The Singleman party.	It's in the main ballroom.
It's in the main ballroom.	Ahh -- thank you.
Can I help you, sir!	What? Oh -- no -- I'm just --
I'll find her.	I don't think so.
Hello. Get me the police, please.	Where is Elaine?
Mrs. Robinson --	I can makes things quite unpleasant.
I don't believe you.	Then you'd better start believing me.
Go home now.	I just don't believe you would do that.
Then give me your word you won't.	This is absurd.
This is absurd.	Promise me, Benjamin.
Thank you.  Benjamin --	Let's not talk about it. Let's not talk at all.
If that's how you feel --	But it's not.
May I stay then?	Yes. Please. I want you to.
That I'm a sick and disgusting person.	Now don't start this.
Don't start acting hurt.	Don't you expect me to be a little hurt?
Did I say that?	Of course you did.
I wouldn't know.	Well, I'm not.
Do you understand that?	Well look. I have no intention of taking her out.
But why shouldn't I?	I have my reasons.
I have my reasons.	Then let's hear them.
I wish you'd tell me.	There's nothing to tell.
Don't talk about Elaine.	Don't talk about Elaine?
Do you remember the make of the car?	Oh my God.
Oh my God.	Really. I want to know.
Really. I want to know.	It was a Ford, Benjamin.
It was a Ford, Benjamin.	A Ford! A Ford! Goddamnit, a Ford! That's great!
Well how did it happen?	How do you think.
We'd go to his car.	Oh no. In the car you did it?
Oh no. In the car you did it?	I don't think we were the first.
What was your major?	Why are you asking me all this?
Why did you do that?	See if you can guess.
See if you can guess.	Well I can't.
Well I can't.	Think real hard, Benjamin.
I never did, Benjamin. Now let's --	Well, wait a minute. You married him.
We're talking, Mrs. Robinson. We're talking.	Calm down, Benjamin.
Calm down, Benjamin.	Now let's keep going here.
Now let's keep going here.	Can I undress and talk at the same time?
No we don't.	Well how long has this been going on.
Well how long has this been going on.	About five years.
About five years.	Oh no. Are you kidding me?
How many times a year.	On New Year's Eve. Sometimes on his birthday.
On New Year's Eve. Sometimes on his birthday.	Man, is this interesting.
So you don't love him. You wouldn't say you --	We've talked enough, Benjamin.
We've talked enough, Benjamin.	Wait a minute. So you wouldn't say you loved him.
But you don't hate him.	No, Benjamin. I don't hate him. Unhook my blouse.
No, Benjamin. I don't hate him. Unhook my blouse.	Well how do you feel about him, then?
How do you get out of the house?	I walk out.
I walk out.	You walk right out the door.
There isn't any.	There's no risk?
What novel did you read.	I don't remember.
Do you really want me to?	Yes I do.
Yes I do.	I got up.
How about art.	Art. That's a good subject. You start it off.
Art. That's a good subject. You start it off.	You start it off. I don't know anything about it.
Yes I do. I know quite a bit about it.	Go ahead then.
Go ahead then.	Art. Well what do you want to know about it.
If you want.	Good. I mean are we dead or something?
Well what do you want to talk about?	Anything. Anything at all.
Would this be easier for you in the dark?	Mrs. Robinson -- I can't do this.
This is all terribly wrong.	Benjamin -- do you find me undesirable?
Benjamin, is this your first time?	Is this -- what?
Is this -- what?	It is, isn't it? It is your first time.
You can admit that, can't you?	Are you kidding?
Are you kidding?	It's nothing to be ashamed of --
It's nothing to be ashamed of --	Wait a minute!
Wait a minute!	On your first time --
On your first time --	Who said it was my first time?
Who said it was my first time?	That you're afraid --
That you're afraid --	Wait a minute.
Wood or wire? They have both.	Either one will be fine.
Why don't you watch?	Oh -- sure. Thank you.
Well -- do you want to go up first?	Yes -- I think that would be good.
Yes -- I think that would be good.	I'll be up in five minutes.
I'll be up in five minutes.	Well -- goodbye then --
Isn't there something you want to tell me?	To tell you?
Have you gotten us a room yet?	I haven't. No.
I haven't. No.	Do you want to?
Do you want me to get it?	You? Oh no. No. I'll get it.
You? Oh no. No. I'll get it.	Do you want to get it now?
Well -- I don't know.	Why don't you get it.
May I have a drink?	A drink? Of course.
How are you?	Very well. Thank you.
Yes, I do.	I've got to go.
Don't be nervous.	Get away from that door.
Get away from that door.	I want to say something first.
Let me out!	Do you understand what I said?
Do you understand what I said?	Yes. Yes. Let me out!
Yes. Yes. Let me out!	Because I find you very attractive and any time --
Where is it?	On that chair in the hall.
What if he did?	Well, it would look pretty funny, wouldn't it?
Well, it would look pretty funny, wouldn't it?	Don't you think he trusts us together?
Haven't you ever seen anybody in a slip before?	Yes, I have --
What are you so scared of?	I'm not scared, Mrs. Robinson.
I'm not scared, Mrs. Robinson.	Then why do you keep running away?
I think I'll go to bed.	Oh. Well, goodnight.
Oh. Well, goodnight.	Won't you unzip my dress?
Won't you unzip my dress?	I'd rather not, Mrs. Robinson.
I'd rather not, Mrs. Robinson.	If you still think I'm trying to seduce you --
If you still think I'm trying to seduce you --	No, I don't. But I just feel a little funny.
No, I don't. But I just feel a little funny.	Benjamin -- you've known me all your life.
Benjamin -- you've known me all your life.	I know that. But I'm --
We'll forget it right now. Finish your drink.	What is wrong with me?
What is wrong with me?	Have you ever seen Elaine's portrait?
What do you think?	Well I don't know.
What do you think of me?	What do you mean?
Did you know that?	Look -- I think I should be going --
Look -- I think I should be going --	Sit down, Benjamin.
Please wait till my husband gets home.	When is he coming back?
When is he coming back?	I don't know.
All right then.	What do you drink?
Is it a girl?	Is what a girl?
Is what a girl?	Whatever it is you're upset about.
Whatever it is you're upset about.	Oh -- no. I'm just sort of disturbed about things.
Oh. I guess this isn't the bathroom, is it?	It's down the hall.
The toothbrush. I got it all right.	Very good, sir.
Very good, sir.	Yes. Well -- goodnight.
Braddock -- Braddock?	Yes, but I'm afraid --
No -- actually I'm just looking for a friend.	I'm afraid I don't understand.
I'm afraid I don't understand.	I'm not with your party -- I'm sorry.
I'm not with your party -- I'm sorry.	Hey -- I don't get it.
No -- actually I'm not --	I'd like you to know my sister, Miss DeWitte --
They don't know?	No -- they don't.
No -- they don't.	Well -- when did you decide all this?
Well -- when did you decide all this?	About an hour ago.
I'm going up to Berkeley today.	Oh, Ben -- this is so -- exciting --
Well why do you -- why do you think that?	Because I know you don't drive around for twelve hours.
Why did you say that?	Well this is your business, Benjamin.  If you --
Well this is your business, Benjamin.  If you --	No wait. Wait.
When I go off?	You don't have to tell me if you don't want.
You don't have to tell me if you don't want.	No, I do. I want to tell you.
Say hello to Mrs. Robinson, Benjamin.	Hello, Mrs. Robinson.
Wait a minute. You talked to Elaine this morning?	No. She doesn't know about it.
No. She doesn't know about it.	She doesn't know that you're coming up to Berkeley?
Say that again.	I'm going to marry Elaine Robinson.
Well -- it's very comfortable -- just to drift here.	Have you thought about graduate school?
I guess -- about my future.	What about it?
What about it?	I don't know. I want it to be --
I don't know. I want it to be --	To be what?
You don't respect me terribly much either, do you?	No, I don't.
It shouldn't make any difference what happened.	That's quite a statement.
You miss the point.	Don't shout at me, Ben.
Hi, Ben. What are you doing with yourself these days?	Oh -- not too much. Taking it easy.
Quite a while.	I've watched you grow up, Ben.
Thank you very much, sir.	Ben -- how old are you now?
Ben -- how old are you now?	Twenty. I'll be twenty-one next week.
Twenty. I'll be twenty-one next week.	That's a hell of a good age to be.
I've got to go.	Is anything wrong? You look a little shaken up.
Can you see me now?	Yes, I can.
Benjamin -- where are you?	Can you look through the glass.
Are you ready in there, feature attraction?	Could I speak to you for a second, Dad?
Ben says he and Elaine are getting married.	I don't believe it.
I don't believe it.	That what he says. Right?
They came all the way from Tarzana.	It's a wonderful thing to have so many devoted friends.
The Carlsons' are here.	They are?  Come on.
Is anything wrong?	No! No -- we're just on our way downstairs!
I'm having luck for the first time in my life.	Your bank, Mr. Kringelein.
What about the money?	I'll pay you back.
I have an idea working in my head...	You might find a bullet through that head...
With the pearls?	With the pearls --
Chloroform on a handkerchief from behind -- while you...	No -- no -- no -- no...
And what are you going to do?	The pearls are in her room.
I told you I'll get the pearls tonight.	Need any help?
Looking for my room -- one sixty- six.	You live here?
Yes -- oh!	Well -- such is life, Flaemmchen.
Well -- such is life, Flaemmchen.	And Baron, thanks so much for everything.
That was lovely.	Will you do me a big favor?
Will you do me a big favor?	I'll do anything for you.
I'll do anything for you.	Would you like to make a man happy?
Would you like to make a man happy?	Yes -- I'd love to.
Yes -- I'd love to.	Then dance the next number with Kringelein.
I feel sorry for him.	You're not a bit like you were yesterday.
You're not a bit like you were yesterday.	I fell in love last night -- the real thing.
I fell in love last night -- the real thing.	Oh -- there's no real thing -- it doesn't exist.
You were very different yesterday.	Yesterday -- yes -- that was yesterday.
Whoever is keeping you waiting.	Have you seen it?
Have you seen it?	Oh, my large and noisy neighbor -- really? That?
Unfortunately no -- to bad -- tomorrow though.	Tomorrow? What time tomorrow?
Tomorrow? What time tomorrow?	Shall we say five o'clock -- downstairs?
Yellow Room where they dance --	You're very funny --
You're very funny --	Yes? -- Tomorrow?
You're a fool!	Yes, I am rather.
On the train?	Yes -- I will be on the train.
Don't do anything foolish -- I'm alarmed about you.	Don't worry. I'll be on the train.  He leaves.
Suzette will be back here any minute.	When are you leaving Berlin?
When are you leaving Berlin?	Very early in the morning.
I want to be good to you -- madly good.	Suzette will be back here in a minute.
Suzette will be back here in a minute.	I'll go -- good-bye.
I'll go -- good-bye.	Shall I see you again?
Do you understand?	Yes -- yes -- yes.
I don't want them now.	I'll not denounce you.
Oh! What a picture -- and what else?	I'm also a criminal and a hotel thief.
I'm also a criminal and a hotel thief.	That's a silly joke.
What can you see?	You are beautiful!
Why do you look at me like that?	I did not know you were so beautiful... and --
I did not know you were so beautiful... and --	And then --?
And -- and --	How tired you are!
How tired you are!	Yes -- tired...
Alone. All alone.  Oh, you strange -- strange creature.	You mustn't talk Russian to me.
Please do not be frightened, Madam.	What do you want here?
What do you want here?	Nothing -- only to be here.
Nothing -- only to be here.	Why do you hide in my room?
Why do you hide in my room?	But surely you must know -- because I love you.
But surely you must know -- because I love you.	Because you love me -- you love me?
I take five hundred.	All of that at once, Baron?
That was my last.	You've lost everything?
You've lost everything?	I've no luck.
I've no luck.	Pardon me, Baron. Permit me again...
Is that too much, Baron?	No -- not at all.
No -- not at all.	All right then.
All right then.	All right then.
If we could scare up some men to play.	We could come to my room.
A drink, Baron -- A Louisiana flip?	No thanks -- keeping my head clear.
Hello, Mr. Kringelein. How do you feel now?	A little strange, Baron.
Thank you, sir.	Not at all, sir.
Not at all, sir.	Permit me -- my name is Kringelein -- from Fredersdorf.
Permit me -- my name is Kringelein -- from Fredersdorf.	I'm Baron von Gaigern.
I'm Baron von Gaigern.	Oh, a Baron!
The war dropped him here and forgot him.	Yes, I was in the war.
Good evening -- my key -- one sixty- eight.	Good evening, Mr. Pimenov.
Good evening, Mr. Pimenov.	Oh -- good evening, Baron.
Oh -- good evening, Baron.	How's the beautiful lady?
Certainly -- always when Grusinskaya dances.	Well -- last night was not so good.
Well -- last night was not so good.	I thought she was splendid!
I thought she was splendid!	Yes -- but the audience.
Hello! Hello! --	Don't do that.
Aha! -- The Baron. What do you want here?	I must have made a mistake.
We shall see who remains here the longer.	As you will.
Oh, let the poor devil alone.	I did not ask your advice.
Pardon me, the lady has urgent business here with me.	Insolent -- Berlin manners.
News? Yes -- killing in number one- sixty-four.	What? -- Who? -- Whom?
What? -- Who? -- Whom?	The big manufacturer killed Baron von Gaigern.
The big manufacturer killed Baron von Gaigern.	Good heavens. What for?
Good heavens. What for?	I don't know.
Madam Grusinskaya -- at once --	Your chauffeur's been waiting, Baron.
The stenographer is to go up -- Mr. Preysing telephoned.	Mr. Preysing -- one sixty-four.
No -- letters to two-eighty.	If a young woman, a stenographer, -- etc.
No -- Madam Grusinskaya's car is not to be brought.	Madam Grusinskaya's car is not to be brought.
Is that for me?	No -- Madam Grusinskaya's car is to be brought.
No -- Madam Grusinskaya's car is to be brought.	Madam Grusinskaya's car is to be brought.
Oh, I've got to find it.	Stay where you are.
There is no pocketbook here... On the floor probably.	More than fourteen thousand marks... were in that pocketbook.
Excuse me, gentlemen.	I'll take the bank -- All right, gentlemen.
Barman -- whiskey --  For you, Mr. Kringelein?	For me? -- Oh, please, something sweet and cold.
Life! -- Mr. Kringelein, you are drunk -- good night.	But Doctor --
Send his bags up to my room.	Oh -- but -- I --
Oh -- but -- I --	You're tired. I can see that.
I didn't like Preysing right off.	Then why did you have anything to do with him?
Yes, of course, -- money!	You don't understand that do you?
Oh yes, of course.	Do you like me better?
Quick -- Mr. Kringelein.	Oh -- what -- what --
Please -- please!	You don't like to see me enjoying myself.
I never danced before -- in public.	You dance splendidly.
You dance splendidly.	I'm happy, Miss Flaemm.
You like music?	Yes -- it's stimulating -- a man might --
Yes -- it's stimulating -- a man might --	A man might what?
A man might what?	I don't know -- I'd like to do anything --
I don't know -- I'd like to do anything --	Oh -- you would!
No - absinthe.	Yes -- that --
Oh, don't go.	I'm engaged for the evening.
I'm engaged for the evening.	Oh, can anyone engage you for the evening?
You are late. I've been waiting for you -- waiting.	I had to arrange about the trip.
Insolent young cub!	You mean Baron von Gaigern?
Of course -- of course.	A thousand marks --
Oh, yes, Mr. Preysing?	Sit here.  Cognac -- for you?
Come and dance with me, Mr. Kringelein.	I must speak to you, Miss Flaemm -- business.
I must speak with you, Miss Flaemm.	Presently, Mr. Preysing.
How nice -- your daughters?	My daughters -- yes, my daughters.
My daughters -- yes, my daughters.	Is that Mrs. Preysing.
Oh -- too bad. Did you quarrel?	That'll be all -- be here tomorrow at nine o'clock.
You're a little too fast.	Can't you understand me?
Can't you understand me?	I understand you perfectly.
I understand you perfectly.	Have you got it now?
Have you got it now?	Cotton Company --
Cotton Company --	Should throw a great weight into the balance...
Should throw a great weight into the balance...	...weight into the balance...
Only in mutual advantages -- moreover.	What brown hands you have.
What brown hands you have.	That's from skiing.
What is this?	I got ten marks for that.
Do you work in Justice Zinnowitz' office?	No -- only occasional jobs.
You pay me.	You're a very unusual stenographer --
I'm the stenographer.	Then you will please wait outside.
What we want to know about is Manchester.	Yes, Mr. Preysing -- that's what we want to know.
I thought we'd suspended negotiations, gentlemen.	Under these circumstances it's quite a different matter.
Under these circumstances it's quite a different matter.	Under these circumstances we might refuse to sign.
I know you did -- I said you did --	And I said we didn't.
Scratched --  We did not take the initiative.	Of course you took the initiative.
Oh -- Preysing, Preysing --	No water -- What a place!
No water -- What a place!	All you have to do is phone for it.
We have a good many connections in England, naturally.	I mean with the Manchester people?
Here's my signature -- here Preysing, sign here.	What a session this has been.
Mr. Preysing has too scrupulous a regard for certainties...	You've talked enough today, you're hoarse now.
Thank God we're beginning at the beginning.	As you remember it -- when you approached us...
As you remember it -- when you approached us...	We did not approach you.
Shall I tell them again?	Why waste time -- it's getting late.
