Well, thank you.	You're late again.
I thought you might ask that. Done.	That's good. That's good.
Gale. What temperature did you set here?	Here? Station five, 75 C.
I said 85. 85.	I wrote it down. You said 75. I wrote it.
I look like a TV weatherman.	You want a coffee?
He attacked me?	He swung at you with something.
Swung at me?	He attacked you with a pipe.
I don't think you heard-	I heard you fine. I said no.
Hank, you don't have to do this.	No, I do. I'm good.
They're approaching your car. You have one minute.	I don't get the gag, jagoff. Who is this?
So roll me further, bitch.	What's coming? Male, Caucasian.
BP is 70.	Seven-zero over palp.
Weak and thready at the brachial.	No breath sounds on the right side, belly is rigid.
Appears pale and diaphoretic.	How many entry wounds? Four.
Shoulder and hip, through and through.	Right lung in lower left quadrant, no visible exit wounds.
Let's get him 2 grams of oxygen.	What's his haemoglobin? - Seven-point-three.
Notify the OR, we are on the way.	OR 1 is clear.
Let's put him in there.	Yo, Jesse, sorry I'm late, man.
Damn, brother, look at you.	That's messed up.
How are you feeling? You okay? Actually I'm great.	I don't understand.
I thought things were going pretty well.	I thought we were kind of simpatico.
You know? We were becoming a real team.	Not Not so much, no.
You said you liked the configuration.	And I do.
For the most part.	Look, you're a fine chemist, really, with a promising future.
What's up, partner? - I can't believe this.	My replacement? Oh, Jesus.
Nice to meet you.	What's up? Man.
We should've ditched that RV months ago.	It's all, like, shiny up in here.
Makes no sense.	So I guess this is Oh, dear mother of God.
This is for the best.	Two hundred pounds a week.
Okay, there's a lot to show you.	Some new techniques to learn.
Femur's like a wet bag of gravel.	Other one's not much better.
Get those boots off.	See if you get a pulse.
Get blood-pressure cup or an ABI? Where's that blood? Dr.	Bording to Cardiology.
I'm so sorry.	I'm so sorry, honey.
I'm so sorry.	I don't know what to say.
How is he? - I don't know.	They won't really tell us anything.
He's still in surgery.	They shit him four
Hey, how are you, huh? - Fine.	Yeah? Sure? I'm fine.
Probably Mexican nationals.	Their tattoos indicated an affiliation with the drug cartel.
They had an axe.	The cartels tend to be dramatic.
That means I had to take away his	You had to take it.
It's standard procedure.	No one - Okay.
And he would've had a gun and could've defended	Marie, let's just - No.
Just It's their fault.	He didn't have a
I mean it.	Sorry - Go.
You are not welcome here.	The DEA is not welcome here.
It's not just them.	It's you, Walt.
It's all right.	All right, you're done.
Yo, yo, yo.	Jesse Pinkman in the house.
Oh, my dear God.	Walter White to the nearest courtesy phone.
Dude, it's not my schedule.	We have responsibilities here.
I'll get there when I get there.	You know what? Whatever.
I'll just cook on my own.	You will do no such thing.
Jesse, touch nothing.	Stop treating me lik e I'm lik e your assistant.
We really do appreciate that.	What, is your wife there? Yes.
Yes, she is.	She would be happy to know you asked about her.
This fork is absolutely filthy.	Tell me you see this.
You've got good eyes.	Look at that.
Those are not "water spots.	" That's dirt.
This silverware's obviously not been cleaned.	It's covered in germs from someone else's mouth.
God knows what.	Seriously, Aunt Marie, it's water spots.
Ours at home aren't any better.	Yours at home are irrelevant.
We're in a hospital.	They need to be a higher standard.
It's in the same building.	It's all under the same roof.
Lying there, waiting for them to anesthetise you.	Knowing that you may never wake up again.
Anyway, there we are.	We're driving up Central and we hit every green light.
I had that.	Anyway, I survived this place.
Your man is in custody.	God bless America! He's innocent until proven guilty.
We're gonna have to wait for him to stabilize.	How long will that take? I can't really say.
Hey, guys, this is Hank's brother-in-law, Walt.	Good to meet you.
We were just swapping Hank stories.	That could go on all day.
God knows, there's a million of them.	Meanwhile - Miserable piece of shit.
Guy who shit him, one that's left, he's up	Got the kill going on, resting
Your tax dollars at work.	Gotta see what Hank did to that bastard.
This is Walter White.	I'll connect you.
Yo, we got problems, big ones.	Reverend, so nice of you to call.
You know, I will definitely look into that.	I'll tell you what.
Apparently I'm not worthy of meeting him.	The other one.
The one I'm qualified to speak to.	He started asking questions too.
Lik e why haven't we cook ed anything.	All right, we have a quota.
Oh, I think I'm gonna go wash my face.	I'm going crazy.
Do you wanna come? - Yeah.	Nurse Franklin, please page the operator.
Nurse Franklin, page the operator.	I got candy bars.
Is this what you were asking for? - Yeah.	Yeah? Yeah, I skimmed through it.
No, I assure you.	We are hard at work.
It has my total attention.	We'll cook through week end if necessary.
We will have 400 pounds for you by next week.	I have your word on that? You do.
You have my word on that.	Thank you for the update.
Owner's a big booster for the DEA.	He heard what happened.
I don't even know what to say.	That's an incredible - Good, huh? - Delicious.
That's so generous of you.	Thank you very much.
Yes, thank you.	Guys, did you hear that? Mr.
I only wish I could do more.	Well, we do appreciate your support.
This reward could turn the tide here.	It'll really help.
Again, I can't express how sorry I am.	As it happens, I actually met Agent Schrader.
Fring was one of our sponsors.	I talked for a few minutes with your husband.
As a matter of fact, Mr.	White, your name came up.
Things have improved, yes.	That's wonderful to hear.
Thank you again very much.	It was a great pleasure to meet you.
Let me walk you out.	Oh, no, it's not necessary.
You know, I didn't say thank you.	I'll walk him out.
Be right back.	Good to see you.
It's my pleasure.	May I? May I speak with you? Just a moment.
I am told the assassin that survived is gravely injured.	It's doubtful he'll live.
Thank you again.	You're quite welcome, Mr.
What's going on? What's happening? Starting chest compressions.	One, two, three, four.
One, two, three - Defib? Patient is in asystole.	Continuing chest compressions.
One, two, three, four.	Give me a litre of saline.
I can't get a pulse.	One, two, three, four.
Burn in hell, you piece of shit.	Yes? Juan? I assume you heard the news.
I see things clear enough.	One DEA gets shot, all of Washington starts
I always do.	My brother's a police chief.
I got connections.	They'll get me through.
But don't tak e my word for it.	One taste and you'll know.
Better over than under.	Over by a pound and a half.
We'll just save it out till next week.	We ship it as is.
What, are we running a charity? Come on, man.	We're gonna take it out.
You are paid extraordinarily well.	Why can't you just appreciate that? - Yeah.
Hey, I been crunching numbers.	Oh, you've been crunching numbers? - Yeah.
All right, look, say he's getting 40 a pound.	All right, 200 pounds a week for three months.
Ninety-six million dollars.	Ninety-six million dollars.
All right? Ninety-six million.	Ninety-six to our three.
That is messed up, yo.	That is so messed up.
Is it okay if I visit? Yeah.	His colour looks good.
Gomey, is that you? Buddy, yeah, it's me.	That's you, Gomey? Yeah, Hank.
Hey, check this out.	I got something that'll make you feel better.
Been keeping an eye on that blue meth of yours.	Six, seven weeks, nothing.
Then all of a sudden, boom, it's popping up everywhere.	Look at the new locations.
Texas, Nevada, up in Farmington.	Even right here in town.
A teener here and there, you know, strictly street-level amounts.	Man, it's crazy.
Well, three cheers for me.	This thing doesn't do a damn thing.
Hank, it's probably still on lock-out.	It's been an hour, right? I'm hurting here.
I could use some meds.	I'll go find somebody.
I didn't see it coming.	What? Damn right, you did.
No, I didn't see shit.	Day late and dollar short, as usual.
A voice scrambler.	Could have been anybody.
Are you safe? Absolutely.	Jesse? Jesse? What about you? Face looks better.
Got a job.	Job is good.
It's in a Laundromat.	It's totally corporate.
All kinds of red tape.	My boss is a dick.
You've got all these nice tulips and baby's breath.	Oh, and this is chrysanthemum.
Look at these, Hank.	Aren't they beautiful? - Beautiful.
Wow, look at the size of this basket.	It's got so many goodies in it.
Boss hall of fame.	I don't see anything here from Kleinman.
They're gonna have to get on the stick.	How's everybody doing today? - Good.
Moment of truth? Yeah, I wouldn't call it that.	All right, let's just take a look here.
Oh, I don't know.	Four? - Okay, four.
It looks like some ne function is returning.	Oh, thank God.
And even then, the odds, they're not great.	But you can't know for sure.
Certainly by early next week.	Next week? No, that's not gonna do it.
Actually, she asked the doctor.	Plan-wise, four treatments a week is fairly typical.
Is the health plan's way medically justifiable? Sure.	Is it absolutely optimal? You know, screw it.
I'll make sure he gets what he needs.	They can reimburse me.
Really, I do.	But my best advice is stay in the network.
Don't go out of pocket.	Physical therapy is just the beginning.
To hell with the plan.	There he is.
Ladies, this is Jesse-san.	He's in for the full treatment.
Look around, kiddo.	It's all yours.
What? - This? - Yeah.	You are now the owner of this fine establishment.
For free? - Free? Oh, ladies, cover your ears.	No, not free.
Here's you, right? Pink, Pinkman.	Get it? Okay, here's your cash.
You're out on the town.	Yeah, you're partying hearty.
You're knocking boots with the chicky babes.	Oh, who's this? It's the tax man.
Million times worse.	You're a tax cheat.
Now, you give me your money, okay? That's called placement.	Hand me that little thing Bin.
Final step, integration.	The revenues from the salon go to the owner.
No, that's 17 percent.	I heard you say 5.
You said it right in front of me.	Yeah, that was for your partner.
Listen to reason.	How is your brother-in-law? He'll live.
We're both adults.	I can't pretend I don't know that person is you.
I want there to be no confusion.	I know I owe you my life.
And more than that I respect the strategy.	In your position I would have done the same.
I want security for my family.	Then you have it.
Three million for three months.	That was our agreement.
Extended annually, 12 million a year.	Call it 15.
Free licence to bitch and moan.	How often do you get that?
Forget about money. Assume you have all you want.	I don't know. I guess I would make something.
What happened to the box?	I gave it to my mom.
You know, I didn't give the box to my mom.	I traded it for an ounce of weed.
He's a hero.	You don't deny coverage to a hero.
They'll say they're not denying coverage.	No, no, I'm agreeing with you.
I wanna be there in case he wakes up.	With all they're giving him, he'll sleep till morning.
Oh, you're Ted.	I've heard so much about you.
Thank you for your gift basket.	That was really thoughtful.
Would you like a glass? No, no, thanks.	I'm just on my way home.
I just thought I'd You know, I am really	I think I'm gonna take that bath.
Bad idea to come here.	Ted, I'm I'll see you in a day or two.
Back at the office.	Take as much time as you want.
I can't believe you had to crush the RV.	Must've been, like, depressing.
No one misses it more than me.	Free to cook anytime, anywhere.
All right? Let's start slinging again.	Let's do it.
Life's too short, I say.	Hells yeah, bitches.
We don't need no RV.	All we need is a bicycle, some Drano, soda bottles.
Where's your self-respect? Come on.	Ain't top-shelf, but we could at least move it.
Still kind of dry out there.	It'll sell on the street.
I see a couple new faces.	Anybody wanna introduce themselves? Don't all speak at once.
I didn't raise my hand.	No, go ahead.
This is what we do.	Yeah, exactly, the blue stuff.
You had it too? - Yeah, bro.	I wish I never even heard of it.
That's the shame of it.	No, no, man.
Don't tell me that.	I hear it's back in town.
It's gonna be okay.	I swear to God, I'll do it.
I will go to the press.	I'll go to 48 Hours.
I'll go to Nightline.	Don't know if there's Nightline anymore.
We can always pay their bills.	Please, it's tens of thousands of dollars.
We have the money, more than enough.	Walt earned it.
Skyler, I really don't think this is a good idea.	I think that - He earned it gambling.
Walt and I we've had our problems lately.	You know that.
And what it all came down to really was money.	Pure and simple.
It was more than facing death.	It was knowing that he was gonna leave behind nothing.
And so that's how this all started.	For better or worse he wanted to provide.
Yeah, I thought so too.	The truth is he never took their money.
Was that some sort of cover? - No, no.	He did not fake that, Marie.
He couldn't live with it.	He was suicidal.
No more gambling.	But we have the money.
How much money? Walt? Well it's into seven figures.	Holy Mary, mother of God.
What can I say? I did very well.	Marie you will take our money.
Marie, let us help.	Does Walt, Jr.
Know about this? - Absolutely not.	And I need to keep it that way.
Yeah, I Yeah, I just I need to Yeah, okay.	We'll talk about it later.
And I'm not forgetting that.	Surprised he doesn't make us do that.
The pack totally has a pecking order.	And the head hyena, he's the man, you know.
All the other ones have to, like, kiss his ass.	I mean, literally.
It's so gross.	They have to lick his junk.
And water boys, you know? Yo, Gatorade me, bitch.	Get us a couple flunkies in here.
Treat us right.	Okay, 15 hours starts now.
I'm gonna hit it, if that's cool with you.	I don't understand.
Dude's totally boning us.	No, it's not that.
Nothing gets spilled.	A little maybe.
Nothing gets spilled.	What about evaporation? It wouldn't account for this much.
Yeah, why? Nothing.	Are you coming? Yeah, in a minute.
Son of a Come on, you Come on, come on.	Son of a Come on.
Shut the door! - My ears are popping.	Shut the door.
What the hell's doing that? Positive pressure.	Positive what? God, it frigging kill,
Well, just move your jaw around.	I am moving it around.
It's not working.	Just yawn or something.
What positive? Positive what? Pressure.	I've turned the ventilation up to keep the outside out.
What? Whoa, whoa, whoa.	Hey, hold up.
Something got into the lab.	So, what do we do? I mean, do we? Wait.
So it's, like, not dangerous? Mr.	White, talk to me here.
Not to us particularly, no.	What the hell is that? This is I made it.
I'm trying to get it out.	Okay? Understand? No, man, not really.
It's a problem.	It's a contamination.
"Clear the contaminant.	" We're making meth here, all right? Not space shuttles.
But you are right.	We're running out of time.
We probably have the most un-picky customers in the world.	No, no, no.
No harm done.	Then we're golden.
It stays closed.	That's an order.
What does it matter? Who cares? I got it.	Oh, Jesus, seriously? - Where is it? It's right there.
See? I told you I got it.	This is a raisin.
Look, I definitely got it, man, all ri Oh, man.	He's got some kill,
Failing that we're dead.	There is no more room for error.
Then come back down here and subtract his ass.	Oh, wait, do you have your keys? - Yeah.
It's a real one.	Yeah, like yours was working.
No, no, no.	Look, we're trying to decontaminate.
I got a butt-Ioad.	We hang them up all over the place.
It won't be able to resist.	I sure hope we have enough.
I'm gonna go out on a limb and say yeah.	Do you see him?
How long do you think you've been awake?	Why do you keep asking me that?
How about it? Yeah.	You take cream and sugar? - Black is fine.
It was a possum.	Big freaky-Iooking bitch.
I mean, why they gotta go changing everything? Whatever.	It's just big rats anyways.
Giant pink-tailed rats with their pink rat faces.	Totally freaky, like alien rats.
That's what they do.	I mean, they play dead or whatever.
It was Scrabble.	Yeah, that was it.
" She got like that toward the end.	Got obsessive about stuff.
Just got mad about stuff.	We didn't know what was up.
You know, got her some treatment.	Meds, so she wasn't stressing all the time.
It was a lot better after that.	You know, she was a lot happier.
And plus, my daughter wasn't born yet.	It had to be after Holly was born.
I mean, how could I possibly? I know the moment.	It was the night Jane died.
But afterward, I stopped at a bar.	It was odd.
I never do that, go to a bar alone.	I just walked in, sat down.
He's a complete stranger.	But he turns out to be Jane's father, Donald Margolis.
I mean, think of the odds.	Once I tried to calculate them, but they're astronomical.
"Never give up on family.	" And I didn't.
I took his advice.	The universe is random.
It's not inevitable.	It's simple chaos.
It's subatomic particles in endless aimless collision.	That's what science teaches us.
It was some Some nature programme about elephants.	And Skyler and Holly were in another room.
I could hear them on the baby monitor.	She was singing a lullaby.
Must be Thailand-hot up there.	That's why he likes it.
Thailand's hot, right? Yeah.	Then that's why.
It's not your fault.	It's not mine either.
It's no one's fault, not even hers.	You know, we are who we are, Mr.
I'm so close.	Let it go.
We need to cook.	What about the contamination? It's all contaminated.
All right, well I definitely scared him.	Probably stay out of our way.
Yeah! Somebody got got, yo! Did you see that, Mr.	Wh? Bins are packed? Bins are packed.
How's the yield? Two-oh-two and change.	You okay getting home? Yeah.
Jesse, come here.	I couldn't chance saying it inside.
For all I know, the lab's wired for sound.	That half a pound I said we were off by.
Who's asking you to?	Yo, I thought I was gonna see some, like, vaginas.
I didn't say she actually painted vaginas.	I said, some of her paintings looked like vaginas.
Seriously? Not even close.	Georgia O'Keeffe painted all kinds of stuff.
Everyday items, her surroundings.	Some of it evoked an erotic nature.
It's who she was.	Not like any vagina I ever saw.
It was the same subject, but different every time.	The light was different, her mood was different.
That door was her home and she loved it.	To me, that's about making that feeling last.
All right, here we go.	You ready? Come on, give me a step.
Nope, that's it.	Take me up.
You can do this, Hank.	Come on, it's supposed to hurt.
Pain is weakness leaving your body.	Pain is my foot in your ass, Marie.
Lf you can get your leg up, go for it.	Take me up.
Never mind about your coffee break.	Take me up.
We'll just pick up where we left off.	Come on, Hank.
It's all right.	I'll be right back, okay? Be right back.
Just say the words.	You think I'm stealing.
Say whatever's on your mind.	How about you? You wanna start us off? Yeah.
One teenth? That's it? - Yeah.	To who? To him.
It's not easy selling to these people.	They're trying to better themselves.
You know what? I want it back.	All of it.
I'll sell it myself.	Come on, man.
It's not so easy like you think.	I will show you exactly how easy it is.
See you next week.	Oh, hey, sorry.
No, go ahead.	Andrea, right? - Yeah.
Aunt Marie's coming to dinner? No.	Your dad is.
Hey, so check it out.	See what that means? Check out the date.
You don't turn 16 for two more months.	It doesn't matter, it's a provisional.
Look it up.	They changed the law like, 10 years ago.
Yeah, well, I didn't vote for that.	Doesn't matter if you voted for it, it's the law.
I'll write that down so we don't forget.	Oh, darn it, no pencil.
It's a lovely name.	Reminds me of a big beautiful sky.
That's a joke.	That's a joke.
It funny because you are so clearly very classy.	Here, please, sit down.
Like I said, I got nothing here.	What if I could get some? - Mommy, Mommy.
I did, but we changed the time.	Grandma, this is Jesse.
He's from the meeting.	He's like a sponsor.
Jesse, this is Grandma.	Jesse, this is Brock.
Brock is almost 6.	You okay, with kids? What? Yeah.
He's gonna go play with his Legos and his cars.	Say, "Bye, Jesse".
My involvement in this is ongoing.	Understand? I can't just quit.
I have something of a contract.	But it's all very safe, professional.
It's a business you understand.	It's a story people will believe.
Not laser tag, this.	This is what we buy.
Yeah, I mean, there's free donuts.	Nothing's wrong with a free donut.
Hey, you know what? I have magical powers.	You wanna see? Ready? That's not real.
Do it again.	Let Jesse eat his dinner, Brock.
Come on, eat your food, Brock.	Can I have a chip? I'm gonna steal your chip.
All due respect, I don't see it.	So I vote no.
What? You know, that blue stuff you were talking about.	Maybe you had a line on some? - Wait.
What? Thought you said the kid is coming home.	Yeah, in a few hours.
It's not what I want.	Look, I was out of line talking about that stuff.
We both were.	You're right I don't know what you've been through.
You can tell me if you want.	This whole neighbourhood's run by gangs.
They run the drugs, control the streets.	They sort of took Tomas in.
No dad around.	Eight years old they got Tomas slinging.
I heard the rumours.	I didn't believe it at first.
But then I saw him like a week later.	And he told me, yeah, he did it.
They gave Tomas a	Gave him a choice.
Him or some dude.	So he did it.
Told me all about it like it was nothing.	Who did he say he kill? Some
From some outside crew.	Right around the corner from here, over off of Central.
Just because he was working the wrong corner.	It won't happen again.
I'm not leaving here till I'm well.	Hank, this isn't about insurance.
Hank, you get stronger every day.	You don't need to be in a hospital.
Wait till you see the bedroom.	I had them move the plasma in.
You get that out of my house.	You hear me, Marie? Today.
If we're looking for someone trustworthy.	What about me? What about you? Me.
No, no, Skyler, that is not a good idea.	I'm capable of managing a small business.
A legal business, not this.	Who else could we trust? - No.
Walt I'm in this.	And if I'm in it, I'm gonna do it right.
Married couples can't be compelled to testify against one another.	So there's that.
Yeah, I'll be there.	What was that? An invitation.
Walter, you're right on time.	Please, come in.
I hope you like paila marina.	It's a fancy name for fish stew.
I mean, this stew is simply an amalgam of ingredients.	Taken separately, these ingredients alone don't remind me of anything.
That's very interesting.	Walter I would like to help you, if I could.
And one must learn to be rich.	To be poor, anyone can manage.
You think you could hook me up? - Three hundred.	For a teenth? Shit, come on, yo.
You're a sweet girl.	Yes, you are.
Here you go.	Here you go.
30? - I'll be here with bells on.	What? It's just a saying.
Do you have a minute? - Yeah.	Could you keep an eye on your sister? - Sure.
"I never thought about it, officers.	Made sense to me".
Then again, he'd try anything.	I'm just not buying it.
Maybe if he were back sleeping in his own bed.	And suddenly a fantasy story.
Not every night, no.	Six nights a week.
One night off.	Dinner two nights.
I am going to be a part of this family.	That is how we'll sell your little fiction.
Yes, it's ours.	Now put it away.
Which means they work for our guy.	Right? What? No.
These two scumbags, they got him dealing.	They got him And you know he's not the first.
They use kids because hey, why not? Easy to control.	Easy to fool.
These guys kill	They used this little kid like some puppet.
How? - I need ricin.	Oh, my God.
Oh, my God.	Look, these two - Hey.
The delivery method, everything.	All I need from you is the poison, that's all.
No - Look.	Otherwise, you don't gotta lift a finger.
Well, I know I would be in prison after this.	Prison or worse.
And I'd be right alongside you.	No, Jesse, you cannot be serious.
That's what you said.	Untraceable back to us.
These guys don't.	Apples and oranges.
Now, murder is not part of your 12-step	This is not some amends that you have to make.
What you are talking about here is pointless.	This achieves nothing.
Jesse, listen to me.	You are not a
I'm not, and you're not.	It's as simple as that.
Chrissakes, Marie, you don't say "knock, knock," you like that.	I like saying it.
Well, that's not the rules.	Okay? - You knock your way, I'll knock mine.
But look, see? I win.	Not so fast.
Why? How is your old man? Back teaching? No.	I don't think either of them are working right now.
Yeah, I'm not so sure about that.	Why not? What? That's what they said.
Why didn't you tell me? Let's wait then.	That's a joke.
The kid ain't coming.	Okay, so, what's plan B? - I don't know.
I really don't.	Well, let's brainstorm.
Or try, at least.	Okay, so we pay him off.
No, no, it's not about money.	It's about getting him off the streets.
Just some minor offence.	Pinkman in jail? I don't know.
I do all kinds of things for him.	Okay, so these guys are using kids like that.
Here we go.	Here we go.
Why? - Because it's moronic.	Saul said you've done things like this before.
No one knows I'm here.	Understand? But our employer would find out, like always.
I'd get called on domestic disputes all the time.	Hundreds, probably, over the years.
Wrists like little branches.	"Come on, tonight's the night we press charges.
This girl was scared.	She wasn't gonna cross him.
Swearing to God he's gonna leave her alone.	Screaming, much as you can with a gun in your
Just trying to do the right thing.	But two weeks later he kill
I'll never make that mistake again.	No more half measures, Walter.
Man, I don't get this.	I don't get this at all.
All I'm seeing is the kid.	So where are they? I don't know.
They're always around.	Burgers are getting cold.
So is it, like, fast? Don't sweat it.	You're just doing what you do.
Take a walk.	Where we going? Sit down.
It is possible they acted rashly.	But, on the other hand, there was provocation.
The man was selling on their territory.	There is blame on both sides.
This will go no further.	It will be settled right here, right now.
You told him? Wait outside.	Listen to me.
You don't look at him.	You look at me.
What are you doing? I'm just seeing.	Seeing what? - Seeing what I see.
Nothing's gonna happen.	I say it will.
You got one minute.	One minute? - Yeah.
It's just - It's pathetic.	That's good, keep talking.
Marie, give up.	I mean, seriously, it's not gonna happen.
Bad day? I don't even know.	Anyway it's better now.
Tell them you're busy.	Hello? Grandma? Slow down.
Hey, it's me.	Wait for the thing.
Jesse, you are now 42 minutes late.	I'm starting without you.
What is "wasabi"? - Wasabi.	Right you are.
What is "solo"? - This guy's good.	Four letter word, 2000.
"A loud, harsh cry; Walt Whitman's was barbaric.	" - "Yell.
" - What is "yawp"? - Kevin.	What is "yawp"? - Yawp.
I'll be right back.	That's what I said.
Okay to use your bathroom, right? Yeah, okay.	Hey, it's me.
Wait for the thing.	Hey, it's me.
Anyway, just call me back.	So the TV turns itself off, huh? - Yeah.
I'll get it.	The beginning of an early cold snap.
Nice to meet you.	Sandia Laboratories, huh? Yeah.
All right, that's a deal.	So this is it, honey.
He's actually a nice guy.	He doesn't push.
And this is the dining area.	Ah, the dining area.
Oh, and, uh-- It's got a pool.	Oh, pool is nice.
At least higher than here.	Walt, this is a good neighborhood.
I need my sleep.	You said no half measures.
You get your car fixed? Not yet.	You're gonna want to get your car fixed.
Where is Pinkman now? I wouldn't know.	A couple of time zones away, at least.
Beyond that, I'd only be guessing.	He has enough money to last forever.
He knows he needs to keep moving.	You'll never find him.
I don't know, Walt.	It's what I do, after all.
He's out of the picture.	I saved his life.
Option A-- you kill me right here and	Apparently, I have made that very easy for you.
But that is Option A.	What is Option B? I continue cooking.
You and I both forget about Pinkman.	We forget this ever happened.
You'd need a new assistant.	I could get right on that.
You're silly, Pop Pop.	Well, a little.
But he'd probably knock everything over.	Plus, there's that big nose of his.
That's not a nose.	That's a horn.
I learn all kinds of things being with you.	Okay, June Bug, these are for you.
What about the rest? The rest are for me.	No, they're not.
You're too old for balloons.	Oh, you're never too old for balloons.
Give me a hug.	Oh, I see your mama.
Don't keep her waiting.	Bye, Pop Pop.
They keep me prisoner.	They keep you prisoner.
I don't do nothing for them ever.	They try and make me.
I say no.	They steal my chemicals.
I can't stop them.	I am businessman.
How's her driving? Driving.	Is she good behind the wheel? Good.
She's good driver.	Licensed? Dependable? She has a Camry.
I strongly recommend that you return our calls next time.	So have her drive you to the hospital.
She's gonna need her shoe.	Where did they cross? Laredo, looks like.
They didn't exactly send their A players.	But like you said, it's cartel, all right.
Well, they didn't find any.	What about Pinkman? I'm making inquiries.
Let's close it up.	Bring it down.
Does that guy ever leave? Nah.	When exactly did that start? It's new.
From here on out.	So, uh please teach me.
This is, uh-- I should have called first.	I'm not interrupting anything, am I? No.
No, not at all.	Please come in.
Can I offer you something? Cr�me de Menthe? Oh, no.	No, thank you.
I'm sorry for the inconvenience.	Oh, no, no.
He's a very private person.	What exactly are his health problems? He's dying of cancer.
How would one track him down? I wonder.	You're still here.
I need your full attention, Saul.	Jesse Pinkman current whereabouts.
